0,57, 103636
0,345, 103522
0,633, 103412
0,921, 99488.3
0,922, 3819.52
0,1210, 103208
0,1498, 103113
0,1786, 103022
0,2074, 102936
0,2362, 74291.4
0,2363, 28561.2
0,2651, 102773
0,2939, 102697
1,81, 87277
1,82, 35307.6
1,370, 121671
1,658, 21216.9
1,659, 99600.1
1,947, 83894.2
1,948, 36122.4
1,1236, 119266
1,1524, 33761.8
1,1525, 84797.5
1,1813, 23482.4
1,1837, 86911.6
1,1838, 7500.33
1,2126, 117267
1,2414, 76884.8
1,2415, 39789.9
1,2703, 116115
1,2991, 52663.9
1,2992, 62920.1
2,56, 100786
2,344, 100762
2,632, 17875.9
2,656, 82863.2
2,944, 100717
2,1232, 100697
2,1520, 100677
2,1808, 100658
2,2095, 70479.1
2,2096, 30160.3
2,2383, 100622
2,2671, 100605
2,2959, 100589
3,56, 103110
3,344, 32448.2
3,367, 5280.81
3,368, 65283.8
3,655, 102920
3,943, 102831
3,1231, 102747
3,1519, 102666
3,1806, 76661.1
3,1807, 25927.5
3,2094, 102515
3,2382, 102444
3,2670, 102376
3,2958, 102311
4,128, 58809.5
4,129, 117818
4,391, 53207.1
4,392, 117279
4,416, 780.904
4,678, 30071.1
4,679, 136504
4,942, 154089
4,966, 8341.81
4,1229, 147111
4,1230, 11631
4,1492, 82141.6
4,1493, 23059.4
4,1517, 50234.1
4,1780, 152453
4,2043, 23179.9
4,2067, 122311
4,2068, 4258.38
4,2330, 32893.6
4,2331, 114394
4,2618, 145034
4,2881, 36889.5
4,2882, 12219.9
4,2906, 93855.7
5,131, 106504
5,419, 106290
5,707, 106087
5,995, 70263.5
5,996, 35630.1
5,1284, 105710
5,1572, 105535
5,1860, 105368
5,2124, 43418.6
5,2148, 61789.6
5,2412, 105056
5,2700, 859.096
5,2701, 104051
5,2989, 104771
6,155, 51295.3
6,156, 64082.3
6,444, 101126
6,445, 13682.6
6,733, 114273
6,1021, 42954.8
6,1022, 70813.2
6,1310, 106210
6,1311, 7080.76
6,1599, 112839
6,1887, 63663.3
6,1888, 48748.4
6,2176, 112006
6,2464, 29878.5
6,2465, 81742.9
6,2753, 111256
6,3041, 5221.55
6,3042, 89494
6,3066, 16192.4
7,154, 100802
7,442, 100778
7,730, 100755
7,1018, 100732
7,1282, 62715.6
7,1306, 37995.7
7,1569, 75580.3
7,1570, 25110.6
7,1857, 100671
7,2145, 100653
7,2433, 100635
7,2721, 100618
7,3009, 100601
8,154, 103067
8,441, 26032.8
8,442, 76938.1
8,729, 102879
8,1017, 102792
8,1305, 102709
8,1592, 94322.7
8,1593, 8306.29
8,1880, 102553
8,2168, 102480
8,2455, 22003.9
8,2456, 80406.3
8,2743, 102343
8,3031, 102279
9,130, 143165
9,394, 78235.6
9,418, 62727.9
9,681, 35077.6
9,682, 103874
9,945, 8835.72
9,969, 128271
9,1233, 135408
9,1521, 133840
9,1785, 37914.2
9,1809, 94472.4
9,2073, 131037
9,2360, 69867.3
9,2361, 59913.2
9,2624, 23249.8
9,2648, 105358
9,2912, 127511
10,66, 14016.4
10,67, 103004
10,68, 86382
10,353, 104514
10,354, 89941.6
10,639, 46411.8
10,640, 106102
10,641, 475.494
10,663, 33935.2
10,949, 44954.8
10,950, 108579
10,951, 26950
10,1236, 109909
10,1237, 64997.2
10,1522, 55527.3
10,1523, 112985
10,1524, 1510.25
10,1809, 106581
10,1810, 59127.8
10,2095, 33686.6
10,2096, 118326
10,2097, 9853.04
10,2382, 71767.7
10,2383, 86653.1
10,2669, 104600
10,2670, 50712.4
10,2955, 5167.78
10,2956, 127171
10,2957, 20154.4
11,70, 101117
11,358, 101083
11,622, 99982
11,646, 1068.26
11,910, 101019
11,1198, 100990
11,1486, 100961
11,1774, 100934
11,2062, 100908
11,2350, 100883
11,2638, 100859
11,2926, 100836
12,70, 106046
12,357, 28833
12,358, 77015.7
12,645, 105661
12,933, 105482
12,1220, 32849.3
12,1221, 72463.1
12,1508, 105150
12,1796, 104996
12,2083, 10165.6
12,2084, 94682.5
12,2371, 104707
12,2659, 104572
12,2947, 104443
13,69, 16824.4
13,70, 95270.7
13,357, 111667
13,644, 20617
13,645, 90644.5
13,932, 110878
13,1219, 11833.2
13,1220, 98682
13,1507, 110171
13,1795, 109844
13,2082, 99154.4
13,2083, 10378.7
13,2370, 71934.7
13,2394, 37302.8
13,2681, 61940.6
13,2682, 47015.4
13,2969, 108688
14,124, 77158.8
14,125, 30933.1
14,413, 107820
14,677, 87518.6
14,701, 20043.6
14,965, 44663.1
14,966, 62654.2
14,1254, 107085
14,1542, 106863
14,1830, 46996.5
14,1831, 59655.6
14,2119, 106451
14,2407, 106259
14,2695, 89896.8
14,2696, 16179.3
14,2984, 105901
15,125, 120242
15,126, 2731.82
15,414, 122040
15,702, 25728.6
15,703, 95438.8
15,991, 58996.4
15,992, 33499.7
15,1016, 27854
15,1304, 97270.6
15,1305, 22312.6
15,1593, 118863
15,1881, 21911.7
15,1882, 96272.4
15,2170, 71571.8
15,2171, 45972.6
15,2459, 116940
15,2747, 10006.5
15,2748, 106363
15,3036, 71976.2
15,3037, 43852.5
16,124, 100032
16,412, 100031
16,700, 100030
16,988, 100029
16,1276, 100028
16,1564, 100027
16,1852, 100027
16,2140, 100026
16,2428, 100025
16,2716, 100024
16,3004, 100024
17,123, 52802.1
17,124, 48244.1
17,411, 101014
17,699, 100984
17,987, 100955
17,1275, 100927
17,1563, 100901
17,1850, 66874.4
17,1851, 34000.7
17,2138, 100851
17,2426, 100827
17,2714, 100805
17,3002, 100783
18,77, 91965
18,78, 13774.1
18,366, 105552
18,654, 105375
18,942, 104484
18,943, 722.316
18,1231, 105045
18,1519, 104892
18,1807, 104746
18,2071, 26047.9
18,2072, 51604.2
18,2095, 26953.7
18,2360, 104472
18,2648, 104345
18,2936, 104223
19,78, 122600
19,102, 2360.74
19,390, 9193.13
19,391, 114729
19,679, 48793
19,680, 74159.7
19,968, 93673.8
19,969, 28373.3
19,1257, 121199
19,1545, 22852.5
19,1546, 97550.5
19,1834, 79765.9
19,1835, 39889
19,2123, 118951
19,2411, 23692.3
19,2412, 8776.74
19,2436, 85817.6
19,2724, 93503.2
19,2725, 24156.5
19,3013, 117067
20,77, 100201
20,365, 100195
20,653, 100189
20,941, 100184
20,1229, 100178
20,1517, 100173
20,1805, 100169
20,2093, 100164
20,2381, 100159
20,2668, 57095.6
20,2669, 43059.6
20,2956, 100151
21,76, 36713.1
21,77, 64931.9
21,364, 101594
21,652, 101546
21,940, 101500
21,1228, 101456
21,1516, 101414
21,1803, 84363.5
21,1804, 17010.5
21,2091, 101335
21,2379, 101298
21,2667, 88716.8
21,2691, 12546.2
21,2979, 101229
23,126, 57920.2
23,150, 45213.7
23,151, 76699.5
23,413, 90352.2
23,414, 83742.7
23,676, 57265.6
23,677, 18270.5
23,701, 93558.6
23,963, 2374.72
23,964, 162321
23,1227, 59579.5
23,1251, 101212
23,1514, 80976.7
23,1515, 76325.6
23,1778, 10792.8
23,1802, 143371
23,2065, 124065
23,2066, 27259.7
23,2353, 148744
23,2616, 74860.2
23,2640, 55389.5
23,2641, 16136.8
23,2904, 144225
24,152, 17149.7
24,153, 91513.3
24,441, 108370
24,729, 108092
24,1017, 65235
24,1018, 42592.7
24,1306, 107577
24,1570, 24596.1
24,1594, 82742.4
24,1858, 107111
24,2146, 69712.3
24,2147, 37182.8
24,2435, 106689
24,2723, 106492
24,3011, 106304
25,177, 81110.1
25,178, 35368.7
25,466, 115861
25,754, 1205.41
25,755, 114074
25,1043, 43264.9
25,1044, 71466.6
25,1332, 91117.3
25,1333, 23097
25,1621, 113726
25,1909, 31377.1
25,1910, 81886.1
25,2198, 92333.7
25,2199, 20491.4
25,2487, 112410
25,2775, 47779.9
25,2776, 64235.2
25,3064, 111640
26,152, 100755
26,440, 100733
26,728, 100711
26,1016, 100690
26,1303, 25172.8
26,1304, 75497
26,1591, 100651
26,1879, 100632
26,2167, 100615
26,2455, 100598
26,2743, 100582
26,3031, 100566
27,152, 102419
27,439, 101105
27,440, 1238.66
27,727, 102272
27,1015, 102204
27,1302, 27035.7
27,1303, 75102.9
27,1590, 102076
27,1878, 102017
27,2166, 101959
27,2453, 4818.83
27,2454, 97085.9
27,2741, 101852
27,3029, 101802
28,152, 147834
28,416, 139307
28,440, 5967.36
28,703, 71816.7
28,704, 71131.4
28,967, 95776.4
28,991, 45048.8
28,1255, 138880
28,1519, 20681.8
28,1543, 116409
28,1807, 135440
28,2095, 133911
28,2359, 44020.2
28,2383, 88472.8
28,2647, 131173
28,2935, 129942
29,139, 27896.7
29,140, 90218
29,141, 15828.4
29,163, 59743.2
29,449, 90691.3
29,450, 92019.7
29,451, 3444.5
29,735, 83280.4
29,736, 94107.4
29,737, 2335.18
29,1021, 65666.9
29,1022, 96504.7
29,1023, 11985.3
29,1307, 37887.2
29,1308, 99239.5
29,1309, 32161
29,1594, 102132
29,1595, 62856.5
29,1880, 56900.8
29,1881, 104049
29,1882, 212.868
29,2166, 987.621
29,2167, 107786
29,2168, 48959.8
29,2453, 45797.2
29,2454, 108845
29,2740, 85630.1
29,2741, 66209.4
29,3026, 3831.09
29,3027, 116770
29,3028, 28685.9
30,115, 20743.6
30,116, 121644
30,117, 3406.62
30,141, 60209.2
30,402, 90674
30,403, 105981
30,664, 9126.62
30,665, 124923
30,689, 13227.8
30,690, 41538.7
30,951, 46673.1
30,952, 135462
30,1214, 71455.4
30,1215, 13972.4
30,1239, 90936.2
30,1501, 83584.1
30,1502, 87738.6
30,1764, 1306.71
30,1788, 81655.4
30,1789, 83915
30,2051, 69304.6
30,2052, 93620
30,2338, 42148.9
30,2339, 117237
30,2601, 854.601
30,2602, 36212.2
30,2626, 119130
30,2889, 153308
31,143, 104765
31,431, 104613
31,719, 104467
31,1007, 104328
31,1271, 42314.3
31,1295, 61882
31,1559, 104070
31,1846, 26181.7
31,1847, 77768.2
31,2134, 103835
31,2422, 103725
31,2710, 103620
31,2998, 103519
32,142, 77416
32,143, 27564.9
32,430, 104821
32,717, 26323.5
32,718, 78344.6
32,1005, 104523
32,1293, 104384
32,1580, 58043.1
32,1581, 46209.3
32,1868, 104126
32,2156, 104006
32,2443, 64964.6
32,2444, 38926.2
32,2731, 103781
32,3019, 103675
33,142, 110077
33,429, 48418.5
33,430, 61311
33,717, 109400
33,1004, 71071.1
33,1005, 38017.1
33,1292, 108792
33,1579, 82216.2
33,1580, 26294.5
33,1867, 108243
33,2154, 80994.2
33,2155, 26994.4
33,2442, 107746
33,2729, 66406.4
33,2730, 41108.2
33,3017, 107294
34,118, 58049.4
34,142, 92421
34,405, 141234
34,406, 6462.68
34,692, 58996
34,693, 86188.9
34,956, 129291
34,980, 13608
34,1243, 93215.1
34,1244, 47594
34,1507, 19212.7
34,1531, 119679
34,1794, 94127.6
34,1795, 42998.6
34,2082, 135495
34,2345, 6091.39
34,2369, 52438.7
34,2370, 75454.1
34,2633, 132580
34,2921, 131273
35,50, 106798
35,338, 41469.8
35,339, 65103.4
35,627, 106360
35,915, 106158
35,1203, 3991.43
35,1204, 101973
35,1492, 105781
35,1780, 100319
35,1781, 5287.03
35,2069, 105439
35,2357, 105280
35,2645, 105127
35,2910, 76622.9
35,2933, 17531.5
35,2934, 10827
36,50, 17313.6
36,51, 86107.3
36,75, 28355.5
36,363, 42818.6
36,364, 87526.4
36,652, 73159.4
36,653, 55860.4
36,941, 108443
36,942, 19346.8
36,1230, 126645
36,1518, 22156.2
36,1519, 103420
36,1807, 49732.1
36,1831, 19082.2
36,1832, 55763.9
36,2120, 120818
36,2121, 2825.35
36,2409, 122765
36,2697, 55616.2
36,2698, 66324.3
36,2986, 119807
36,2987, 1356.6
37,50, 100560
37,338, 100543
37,626, 100527
37,914, 100511
37,1202, 100496
37,1490, 100482
37,1778, 100469
37,2066, 100456
37,2354, 46610.7
37,2378, 53832.5
37,2666, 100431
37,2954, 100420
38,49, 101380
38,337, 101337
38,625, 101297
38,913, 101259
38,1201, 101222
38,1489, 101187
38,1777, 66663.9
38,1801, 34489.1
38,2088, 71036.9
38,2089, 30083.8
38,2376, 101090
38,2664, 101060
38,2952, 101032
39,49, 38229.2
39,50, 69009
39,338, 106998
39,626, 86372.4
39,627, 20397.3
39,915, 106553
39,1203, 106347
39,1491, 52304.1
39,1492, 53846.1
39,1780, 105963
39,2068, 105784
39,2356, 46653.4
39,2357, 58960.6
39,2645, 105451
39,2933, 105296
40,50, 42694
40,74, 66232.7
40,75, 23474.8
40,363, 130932
40,651, 2806.37
40,652, 126765
40,940, 33843.2
40,941, 94466.9
40,1229, 69749.9
40,1230, 57386.7
40,1518, 95930.8
40,1542, 14733.8
40,1543, 15378
40,1831, 125020
40,2119, 31729.5
40,2120, 92333.8
40,2408, 84129.7
40,2409, 39036
40,2697, 122322
40,2985, 19718.6
40,2986, 101809
41,49, 100544
41,337, 100528
41,625, 100512
41,913, 100497
41,1201, 100482
41,1489, 100469
41,1777, 19898.5
41,1801, 80557.1
41,2089, 100443
41,2377, 100431
41,2665, 100419
41,2953, 100408
42,49, 101218
42,337, 101181
42,624, 62118.8
42,625, 39026.7
42,912, 101112
42,1200, 86708.2
42,1224, 14370.9
42,1512, 101048
42,1800, 101018
42,2088, 100990
42,2376, 100963
42,2664, 100937
42,2952, 100912
43,134, 62345.8
43,158, 46629.6
43,159, 89778.4
43,420, 15434.9
43,421, 145799
43,422, 29267.4
43,683, 44851.6
43,684, 39188.1
43,708, 99465.1
43,970, 59132.5
43,971, 118356
43,1233, 58115.3
43,1234, 10740.9
43,1258, 103396
43,1520, 41357.3
43,1521, 126293
43,1783, 8146.86
43,1784, 10794.7
43,1808, 144628
43,2071, 159925
43,2358, 114147
43,2359, 42501.1
43,2621, 41820.9
43,2622, 46224.6
43,2646, 65639.6
43,2909, 150993
44,161, 106785
44,449, 106561
44,737, 106348
44,1025, 106146
44,1313, 105954
44,1577, 34692.8
44,1601, 71077.8
44,1865, 105596
44,2153, 29813.5
44,2154, 75615.8
44,2442, 105270
44,2730, 105118
44,3018, 104973
45,186, 109648
45,474, 63969
45,475, 45347.7
45,763, 109003
45,1051, 40115.4
45,1052, 68590.5
45,1340, 108424
45,1628, 26721.7
45,1629, 81433.7
45,1917, 107900
45,2205, 24483.7
45,2206, 83173.7
45,2494, 107426
45,2782, 34207.9
45,2783, 72997.2
45,3071, 106994
46,160, 67903.3
46,161, 34792.3
46,448, 102612
46,736, 102532
46,1023, 15741.3
46,1024, 86713.8
46,1311, 102382
46,1599, 102312
46,1887, 102246
46,2174, 19818.6
46,2175, 82363.4
46,2462, 102121
46,2750, 102062
46,3038, 102006
47,184, 106116
47,447, 10552.3
47,448, 56721.3
47,472, 38642.6
47,735, 105726
47,1023, 105545
47,1310, 89762.4
47,1311, 15610.8
47,1598, 105209
47,1885, 45171
47,1886, 59881.7
47,2173, 104903
47,2461, 104761
47,2748, 85023.8
47,2749, 19600.4
47,3036, 104494
48,160, 152432
48,423, 54463.5
48,424, 83147.9
48,448, 11882.8
48,711, 146840
48,974, 7634.62
48,975, 84616.3
48,999, 52178
48,1262, 142230
48,1526, 14985.3
48,1550, 125230
48,1813, 36806
